source,target,relation,weight,layer,communities
flood_source,unknown_port_7443_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,33
flood_source,unknown_port_666,CAUSES_DENIAL_OF_SERVICE,1,behavioral,34
flood_source,unknown_port_4343,CAUSES_DENIAL_OF_SERVICE,1,behavioral,36
flood_source,T1498,ASSOCIATED_WITH,1,bridge,5
flood_source,T1499,ASSOCIATED_WITH,1,bridge,5
flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,5
https_flood_source,https_port_443_server,CAUSES_DENIAL_OF_SERVICE,1,behavioral,6
ssh_brute_force_client,T1110,ASSOCIATED_WITH,1,bridge,2
ssh_brute_force_client,T1110.001,ASSOCIATED_WITH,1,bridge,2
unknown_port_59408_client,T1071.004,ASSOCIATED_WITH,1,bridge,0
ftp_flood_source,ftp_port_21_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,1
unknown_port_35143_client,unknown_port_35143_service,PERFORMS_RECONNAISSANCE,1,behavioral,11
https_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,6
https_flood_source,T1499,ASSOCIATED_WITH,1,bridge,6
https_flood_source,T1498,ASSOCIATED_WITH,1,bridge,6
unknown_port_35143_client,T1046,ASSOCIATED_WITH,1,bridge,11
unknown_port_444_client,unknown_port_444_service,ESTABLISHES_C2,1,behavioral,12
unknown_port_444_client,T1071,ASSOCIATED_WITH,1,bridge,12
unknown_port_444_client,T1071.001,ASSOCIATED_WITH,1,bridge,12
unknown_port_5904_client,T1046,ASSOCIATED_WITH,1,bridge,13
unknown_port_5903_client,unknown_port_5903_service,PERFORMS_RECONNAISSANCE,1,behavioral,13
unknown_port_5903_client,T1046,ASSOCIATED_WITH,1,bridge,13
unknown_port_9766_client,unknown_port_9766_service,PERFORMS_RECONNAISSANCE,1,behavioral,14
unknown_port_444_client,T1071.004,ASSOCIATED_WITH,1,bridge,12
unknown_port_5906_client,unknown_port_5906_service,PERFORMS_RECONNAISSANCE,1,behavioral,13
unknown_port_5906_client,T1046,ASSOCIATED_WITH,1,bridge,13
unknown_port_5904_client,unknown_port_5904_service,PERFORMS_RECONNAISSANCE,1,behavioral,13
unknown_port_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,15
ldap_flood_source,ldap_port_389_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,16
ldap_flood_source,T1498,ASSOCIATED_WITH,1,bridge,16
ldap_flood_source,T1499,ASSOCIATED_WITH,1,bridge,16
ldap_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,16
unknown_port_9207_traffic,unknown_port_9207,CAUSES_DENIAL_OF_SERVICE,1,behavioral,17
unknown_port_9207_traffic,T1498,ASSOCIATED_WITH,1,bridge,17
unknown_port_9207_traffic,T1499,ASSOCIATED_WITH,1,bridge,17
unknown_port_9207_traffic,T1499.001,ASSOCIATED_WITH,1,bridge,17
unknown_port_4443_traffic,unknown_port_4443,CAUSES_DENIAL_OF_SERVICE,1,behavioral,17
unknown_port_4443_traffic,T1498,ASSOCIATED_WITH,1,bridge,17
unknown_port_4443_traffic,T1499,ASSOCIATED_WITH,1,bridge,17
unknown_port_9766_client,T1046,ASSOCIATED_WITH,1,bridge,14
unknown_port_flood_source,multiple_ports,CAUSES_DENIAL_OF_SERVICE,1,behavioral,15
unknown_port_flood_source,T1498,ASSOCIATED_WITH,1,bridge,15
unknown_port_flood_source,T1499,ASSOCIATED_WITH,1,bridge,15
unknown_port_9220_traffic,T1499,ASSOCIATED_WITH,1,bridge,17
unknown_port_9220_traffic,T1498,ASSOCIATED_WITH,1,bridge,17
unknown_port_9220_traffic,unknown_port_9220,CAUSES_DENIAL_OF_SERVICE,1,behavioral,17
unknown_port_4443_traffic,T1499.001,ASSOCIATED_WITH,1,bridge,17
unknown_port_9220_traffic,T1499.001,ASSOCIATED_WITH,1,bridge,17
smb_exploit_client,smb_port_445_service,EXPLOITS_VULNERABILITY,1,behavioral,18
smb_exploit_client,T1190,ASSOCIATED_WITH,1,bridge,18
smb_exploit_client,T1203,ASSOCIATED_WITH,1,bridge,18
rdp_flood_source,rdp_port_3389_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,29
rdp_flood_source,T1498,ASSOCIATED_WITH,1,bridge,29
rdp_flood_source,T1499,ASSOCIATED_WITH,1,bridge,29
rdp_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,29
netbios_flood_source,netbios_session_port_139,CAUSES_DENIAL_OF_SERVICE,1,behavioral,23
netbios_flood_source,T1498,ASSOCIATED_WITH,1,bridge,23
netbios_flood_source,T1499,ASSOCIATED_WITH,1,bridge,23
netbios_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,23
beaconing_client,T1071.004,ASSOCIATED_WITH,1,bridge,32
beaconing_client,T1071,ASSOCIATED_WITH,1,bridge,32
beaconing_client,netbios_name_port_137,PERFORMS_BEACONING,1,behavioral,38
beaconing_client,https_port_443_server,PERFORMS_BEACONING,1,behavioral,32
mysql_flood_source,mysql_port_3306,CAUSES_DENIAL_OF_SERVICE,1,behavioral,39
mysql_flood_source,T1498,ASSOCIATED_WITH,1,bridge,39
mysql_flood_source,T1499,ASSOCIATED_WITH,1,bridge,39
mysql_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,39
smtp_flood_source,smtp_port_25_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,40
smtp_flood_source,T1498,ASSOCIATED_WITH,1,bridge,40
smtp_flood_source,T1499,ASSOCIATED_WITH,1,bridge,40
smtp_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,40
pptp_flood_source,pptp_port_1723_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,41
pptp_flood_source,T1498,ASSOCIATED_WITH,1,bridge,41
pptp_flood_source,T1499,ASSOCIATED_WITH,1,bridge,41
pptp_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,41
