source,target,relation,weight,layer,communities
https_attacker,https_port_443_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,32
https_attacker,T1498,ASSOCIATED_WITH,1,bridge,32
https_attacker,T1499,ASSOCIATED_WITH,1,bridge,32
https_attacker,T1499.001,ASSOCIATED_WITH,1,bridge,32
unknown_port_666_flood_source,unknown_port_666_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,34
unknown_port_666_flood_source,T1498,ASSOCIATED_WITH,1,bridge,34
unknown_port_666_flood_source,T1499,ASSOCIATED_WITH,1,bridge,34
unknown_port_666_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,34
smtps_flood_source,smtps_port_465_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,35
smtps_flood_source,T1498,ASSOCIATED_WITH,1,bridge,35
smtps_flood_source,T1499,ASSOCIATED_WITH,1,bridge,35
smtps_flood_source,T1499.001,ASSOCIATED_WITH,1,bridge,35
smtps_spy_host,smtps_port_465_service,PERFORMS_RECONNAISSANCE,1,behavioral,37
smtps_spy_host,T1046,ASSOCIATED_WITH,1,bridge,37
smtp_spammer,smtp_port_25_service,CAUSES_DENIAL_OF_SERVICE,1,behavioral,40
smtp_spammer,T1498,ASSOCIATED_WITH,1,bridge,40
smtp_spammer,T1499,ASSOCIATED_WITH,1,bridge,40
smtp_spammer,T1499.001,ASSOCIATED_WITH,1,bridge,40
